# SignalP-5.0	Organism: Gram-negative	Timestamp: 20191213082136
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
BAM31270.1	OTHER	0.010879	0.000521	0.001665	0.986935	
BAM31271.1	OTHER	0.001955	0.000613	0.000194	0.997238	
BAM31276.1	OTHER	0.003462	0.000471	0.000553	0.995514	
BAM31280.1	OTHER	0.003756	0.000298	0.000321	0.995624	
BAM31283.1	OTHER	0.001943	0.000414	0.000327	0.997315	
BAM31284.1	SP(Sec/SPI)	0.519551	0.010173	0.031969	0.438307	CS pos: 32-33. SLA-KS. Pr: 0.3650
BAM31285.1	OTHER	0.009625	0.004132	0.001308	0.984935	
BAM31288.1	OTHER	0.012233	0.011027	0.001362	0.975378	
BAM31296.1	OTHER	0.004580	0.000918	0.001479	0.993024	
BAM31315.1	OTHER	0.000755	0.000112	0.000762	0.998371	
BAM31316.1	OTHER	0.000436	0.000524	0.000947	0.998092	
BAM31317.1	OTHER	0.000326	0.000168	0.000739	0.998766	
BAM31322.1	OTHER	0.012611	0.003216	0.000916	0.983257	
BAM31323.1	OTHER	0.002561	0.000369	0.000279	0.996791	
BAM31353.1	OTHER	0.037482	0.001541	0.007869	0.953107	
BAM31361.1	OTHER	0.022046	0.001454	0.001256	0.975244	
BAM31368.1	LIPO(Sec/SPII)	0.404648	0.000192	0.529921	0.065239	CS pos: 18-19. LFP-CN. Pr: 0.5200
BAM31371.1	OTHER	0.016132	0.006100	0.003615	0.974154	
BAM31387.1	OTHER	0.000868	0.000540	0.000880	0.997712	
BAM31388.1	OTHER	0.006328	0.001426	0.246051	0.746195	
BAM31391.1	OTHER	0.003535	0.000139	0.013240	0.983086	
BAM31398.1	OTHER	0.096171	0.002876	0.073129	0.827824	
BAM31399.1	OTHER	0.015199	0.000560	0.011430	0.972812	
BAM31409.1	OTHER	0.020738	0.002307	0.008125	0.968829	
BAM31413.1	OTHER	0.023153	0.004393	0.005227	0.967227	
BAM31439.1	LIPO(Sec/SPII)	0.000584	0.000038	0.999198	0.000180	CS pos: 20-21. LIG-CG. Pr: 0.9993
BAM31448.1	OTHER	0.441992	0.003597	0.026701	0.527710	
BAM31452.1	OTHER	0.013620	0.002973	0.000688	0.982719	
BAM31453.1	SP(Sec/SPI)	0.493328	0.001702	0.038591	0.466379	CS pos: 18-19. AFG-GW. Pr: 0.2229
BAM31461.1	SP(Sec/SPI)	0.996976	0.000332	0.001630	0.001061	CS pos: 24-25. ALA-NE. Pr: 0.9862
BAM31464.1	OTHER	0.036550	0.000539	0.002585	0.960326	
BAM31466.1	OTHER	0.002654	0.000652	0.000303	0.996391	
BAM31468.1	OTHER	0.003387	0.005805	0.000802	0.990006	
BAM31469.1	OTHER	0.007392	0.003195	0.002530	0.986882	
BAM31470.1	OTHER	0.006855	0.005038	0.001480	0.986627	
BAM31471.1	OTHER	0.002995	0.000867	0.000229	0.995909	
BAM31472.1	OTHER	0.022431	0.006014	0.019827	0.951728	
BAM31473.1	OTHER	0.003401	0.000673	0.000671	0.995255	
BAM31474.1	OTHER	0.046292	0.002671	0.007040	0.943996	
BAM31475.1	OTHER	0.022962	0.000396	0.005485	0.971157	
BAM31476.1	OTHER	0.011880	0.003776	0.004109	0.980235	
BAM31478.1	OTHER	0.002278	0.000621	0.000395	0.996706	
BAM31482.1	OTHER	0.110316	0.029211	0.030371	0.830102	
BAM31483.1	OTHER	0.002012	0.001655	0.000360	0.995974	
BAM31484.1	OTHER	0.003121	0.000894	0.000412	0.995574	
BAM31487.1	OTHER	0.004677	0.001111	0.001635	0.992578	
BAM31492.1	OTHER	0.004761	0.001115	0.001069	0.993055	
BAM31493.1	OTHER	0.013335	0.000705	0.001508	0.984452	
BAM31494.1	OTHER	0.007299	0.004377	0.004091	0.984233	
BAM31495.1	OTHER	0.008441	0.000363	0.001717	0.989478	
BAM31496.1	OTHER	0.000651	0.000270	0.000731	0.998348	
BAM31497.1	OTHER	0.046400	0.005619	0.008117	0.939864	
BAM31498.1	OTHER	0.001397	0.000637	0.000233	0.997733	
BAM31499.1	OTHER	0.035565	0.001912	0.009983	0.952540	
BAM31500.1	OTHER	0.003979	0.001443	0.001051	0.993527	
BAM31501.1	OTHER	0.003541	0.000583	0.000239	0.995637	
BAM31502.1	OTHER	0.004063	0.001082	0.000510	0.994345	
BAM31503.1	LIPO(Sec/SPII)	0.043029	0.000070	0.956359	0.000542	CS pos: 21-22. TQG-CY. Pr: 0.9764
BAM31513.1	OTHER	0.024049	0.001657	0.002989	0.971305	
BAM31517.1	OTHER	0.005216	0.000231	0.003491	0.991063	
BAM31524.1	OTHER	0.028775	0.000666	0.003399	0.967159	
BAM31525.1	OTHER	0.011738	0.000889	0.003560	0.983813	
BAM31539.1	OTHER	0.004185	0.000381	0.000706	0.994727	
BAM31540.1	OTHER	0.005213	0.000627	0.000850	0.993310	
BAM31543.1	OTHER	0.002336	0.000273	0.000148	0.997244	
BAM31544.1	OTHER	0.017593	0.000692	0.003116	0.978599	
BAM31545.1	OTHER	0.007983	0.000546	0.000745	0.990725	
BAM31551.1	OTHER	0.037141	0.000499	0.065018	0.897342	
BAM31553.1	OTHER	0.011037	0.013669	0.001555	0.973740	
BAM31560.1	OTHER	0.011316	0.000738	0.003083	0.984863	
BAM31568.1	OTHER	0.012069	0.000152	0.009794	0.977984	
BAM31569.1	OTHER	0.215594	0.003558	0.020726	0.760121	
BAM31571.1	OTHER	0.007899	0.000871	0.001207	0.990024	
BAM31572.1	OTHER	0.023012	0.000811	0.006434	0.969743	
BAM31573.1	OTHER	0.002233	0.000664	0.000350	0.996753	
BAM31585.1	OTHER	0.000177	0.000042	0.001703	0.998077	
BAM31597.1	LIPO(Sec/SPII)	0.001076	0.000094	0.998358	0.000472	CS pos: 28-29. LSA-CS. Pr: 0.9991
BAM31607.1	OTHER	0.000690	0.000211	0.004514	0.994586	
BAM31629.1	OTHER	0.000261	0.000251	0.000966	0.998522	
BAM31630.1	OTHER	0.004464	0.001169	0.000412	0.993955	
BAM31632.1	OTHER	0.002408	0.000287	0.001410	0.995895	
BAM31633.1	OTHER	0.008168	0.000599	0.000618	0.990614	
BAM31634.1	OTHER	0.000863	0.000229	0.000141	0.998766	
BAM31636.1	OTHER	0.024752	0.000610	0.293138	0.681500	
BAM31638.1	OTHER	0.018150	0.000161	0.012322	0.969367	
BAM31639.1	OTHER	0.024725	0.000677	0.012202	0.962397	
BAM31640.1	OTHER	0.001907	0.001052	0.000244	0.996797	
BAM31641.1	OTHER	0.055675	0.023199	0.025179	0.895947	
BAM31642.1	OTHER	0.012265	0.001579	0.003766	0.982390	
BAM31644.1	OTHER	0.002484	0.000408	0.000244	0.996865	
BAM31645.1	OTHER	0.007560	0.003064	0.001541	0.987835	
BAM31648.1	OTHER	0.002778	0.000183	0.003222	0.993817	
BAM31655.1	SP(Sec/SPI)	0.689479	0.002619	0.274776	0.033126	CS pos: 20-21. TSA-SD. Pr: 0.4967
BAM31666.1	OTHER	0.002976	0.000582	0.001027	0.995415	
BAM31683.1	OTHER	0.004429	0.004583	0.000904	0.990084	
BAM31707.1	LIPO(Sec/SPII)	0.008233	0.000243	0.984677	0.006847	CS pos: 23-24. SLA-CS. Pr: 0.9872
BAM31709.1	OTHER	0.100388	0.004254	0.009793	0.885565	
BAM31715.1	OTHER	0.005564	0.001620	0.008446	0.984371	
BAM31729.1	OTHER	0.002174	0.000432	0.000155	0.997240	
BAM31738.1	OTHER	0.011860	0.001078	0.168172	0.818890	
BAM31740.1	LIPO(Sec/SPII)	0.018391	0.000225	0.980915	0.000469	CS pos: 19-20. FAG-CS. Pr: 0.9817
BAM31741.1	OTHER	0.051155	0.000717	0.113553	0.834575	
BAM31743.1	OTHER	0.002530	0.000144	0.001485	0.995841	
BAM31745.1	SP(Sec/SPI)	0.641796	0.000570	0.251071	0.106563	CS pos: 20-21. AKT-LE. Pr: 0.3587
BAM31750.1	OTHER	0.006194	0.000242	0.002877	0.990687	
BAM31752.1	OTHER	0.088452	0.002737	0.008686	0.900126	
BAM31753.1	OTHER	0.011077	0.003656	0.001927	0.983340	
BAM31754.1	OTHER	0.161307	0.002432	0.006085	0.830176	
BAM31760.1	OTHER	0.002325	0.001347	0.000247	0.996080	
BAM31765.1	SP(Sec/SPI)	0.830246	0.039632	0.037924	0.092198	CS pos: 22-23. GYA-DT. Pr: 0.7699
BAM31766.1	OTHER	0.002813	0.001152	0.000389	0.995647	
BAM31771.1	OTHER	0.000777	0.000086	0.015963	0.983174	
BAM31774.1	OTHER	0.001300	0.000310	0.000137	0.998253	
