# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	333	1088	-							XJ32_00005	756		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	333	1088	-	AQQ58736.1			membrane protein			XJ32_00005	756	251	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	1092	2129	-							XJ32_00010	1038		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	1092	2129	-	AQQ58737.1			oxidoreductase			XJ32_00010	1038	345	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	2508	4454	-							XJ32_00015	1947		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	2508	4454	-	AQQ58738.1			hypothetical protein			XJ32_00015	1947	648	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	4851	5654	-							XJ32_00020	804		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	4851	5654	-	AQQ58739.1			hypothetical protein			XJ32_00020	804	267	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	5658	6527	-							XJ32_00025	870		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	5658	6527	-	AQQ58740.1			hypothetical protein			XJ32_00025	870	289	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	6552	6938	-							XJ32_00030	387		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	6552	6938	-	AQQ58741.1			flagellar motor switch protein			XJ32_00030	387	128	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	7078	8430	-							XJ32_00035	1353		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	7078	8430	-	AQQ58742.1			dapD			XJ32_00035	1353	450	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	9069	11162	+							XJ32_00040	2094		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	9069	11162	+	AQQ58743.1			chemotaxis protein			XJ32_00040	2094	697	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	11436	12107	+							XJ32_00045	672		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	11436	12107	+	AQQ58744.1			hypothetical protein			XJ32_00045	672	223	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	12120	15617	+							XJ32_00050	3498		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	12120	15617	+	AQQ58745.1			hypothetical protein			XJ32_00050	3498	1165	
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	15631	16359	+							XJ32_00055	729		
CDS	with_protein	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	15631	16359	+	AQQ58746.1			membrane protein			XJ32_00055	729	242	
gene	pseudogene	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	16708	16833	-				flagellin N-methylase			XJ32_00060	126		pseudo
gene	protein_coding	GCA_001999985.1	Primary Assembly	chromosome		CP019645.1	17585	17797	-							XJ32_00065	213		
